gpl,type,organism_ch1,molecule_ch1,label_ch1
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL14613,RNA,Mus musculus,total RNA,biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL570,RNA,Homo sapiens,total RNA,Biotin
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL11221,SRA,Arabidopsis thaliana,genomic DNA,NA
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL198,RNA,Arabidopsis thaliana,total RNA,biotin
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL18235,RNA,Oryza sativa,total RNA,Cy3
GPL18235,RNA,Oryza sativa,total RNA,Cy5
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18427,RNA,Wigglesworthia glossinidia endosymbiont of Glossina morsitans,total RNA,Cy3
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18389,RNA,Homo sapiens,total RNA,Cy5
GPL18390,RNA,Homo sapiens,total RNA,Cy5
GPL18390,RNA,Homo sapiens,total RNA,Cy5
GPL18390,RNA,Homo sapiens,total RNA,Cy5
GPL18390,RNA,Homo sapiens,total RNA,Cy5
GPL18390,RNA,Homo sapiens,total RNA,Cy5
GPL18390,RNA,Homo sapiens,total RNA,Cy5
GPL7725,RNA,Arabidopsis,total RNA,Cy5
GPL7725,RNA,Arabidopsis,total RNA,Cy3
GPL7725,RNA,Arabidopsis,total RNA,Cy5
GPL7725,RNA,Arabidopsis,total RNA,Cy3
GPL7725,RNA,Arabidopsis,total RNA,Cy5
GPL7725,RNA,Arabidopsis,total RNA,Cy3
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6480,RNA,Homo sapiens,total RNA,Cy5
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL6246,RNA,Mus musculus,total RNA,Biotin
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL16951,RNA,Homo sapiens,total RNA,Cy5
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL16417,SRA,Mus musculus,total RNA,NA
GPL16417,SRA,Mus musculus,total RNA,NA
GPL16417,SRA,Mus musculus,total RNA,NA
GPL16417,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL8786,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6244,RNA,Homo sapiens,total RNA,biotin
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL6888,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL19004,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL19004,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL19004,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL19004,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL19004,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL19004,genomic,Drosophila melanogaster,genomic DNA,Cy5
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6096,RNA,Mus musculus,total RNA,biotin
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL6887,RNA,Mus musculus,total RNA,"biotin,cy3"
GPL16791,SRA,Homo sapiens,total RNA,NA
GPL16791,SRA,Homo sapiens,total RNA,NA
GPL16791,SRA,Homo sapiens,total RNA,NA
GPL16791,SRA,Homo sapiens,total RNA,NA
GPL16791,SRA,Homo sapiens,total RNA,NA
GPL16791,SRA,Homo sapiens,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,total RNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL13112,SRA,Mus musculus,genomic DNA,NA
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL16570,RNA,Mus musculus,total RNA,biotin
GPL10787,RNA,Mus musculus,total RNA,Cy3
GPL10787,RNA,Mus musculus,total RNA,Cy3
GPL10787,RNA,Mus musculus,total RNA,Cy3
GPL10787,RNA,Mus musculus,total RNA,Cy3
GPL10787,RNA,Mus musculus,total RNA,Cy3
GPL10787,RNA,Mus musculus,total RNA,Cy3
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL11154,SRA,Homo sapiens,total RNA,NA
GPL19097,genomic,Schizosaccharomyces pombe,genomic DNA,Cy3
GPL19097,genomic,Schizosaccharomyces pombe,genomic DNA,Cy3
GPL19097,genomic,Schizosaccharomyces pombe,genomic DNA,Cy3
GPL19097,genomic,Schizosaccharomyces pombe,genomic DNA,Cy3
GPL19097,genomic,Schizosaccharomyces pombe,genomic DNA,Cy3
GPL19097,genomic,Schizosaccharomyces pombe,genomic DNA,Cy3
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
GPL10152,genomic,Homo sapiens,genomic DNA,Cy5
